start	end	text
0	1480	开始直播
3840	5080	开始直播
6560	8040	哈喽 大家好
9920	11480	等一下 看到了没有
13560	15000	看到了没有
16440	17760	上人了啊
17760	18440	哎
18440	19440	看到了没有
20800	21480	哎
21480	22720	开了 开了 是吧
23880	25240	好 我这儿出来了
25240	26000	开始直播
27000	29000	大家好
29000	30760	祝大家
30760	32080	新春愉快
32080	33800	万事如意
33800	34960	身体健康
34960	36920	何家平安
36920	39560	马上发大财
39560	40880	祝大家发大财
40880	41320	祝老王
41320	44080	所有的观众朋友们都发大财
44080	44640	这个
46960	48520	你看啊
48520	50080	我当今天是初五了
50080	51480	今天是不是初五啊
51480	53720	中国的时间是不是初五了
53720	54960	反正我是当初五了
54960	56760	刚才我看毒瓶说初四
57960	58960	怎么是初四呢
58960	60120	明明是初五啊
65080	66040	初五啊
67040	68280	我又说错了吗
70360	71560	王叔两病斑白了
71560	74120	两病早都斑白了
74120	76960	这个直播是光线特别好
76960	80360	打的我这个白发无所顿型
80360	83040	所以大家看这边有点白头发
83040	83880	这边还好
85120	85760	该理发了
85760	86560	又该理发了
88680	89880	如果是初四的话
89880	92800	那我就全球提前
92800	93760	提前一天
93760	95720	祝大家初五快乐
95720	97960	我计划是初五工作的
97960	99000	我都说挺清楚
99000	100520	我休息五个工作日
100520	102680	初五工作怎么就是怎么
102680	104040	我今天是五个工作日
104040	105160	怎么是初四呢
105160	105560	哎呀
105560	106600	反正好了
106600	107840	这不重要了啊
107840	109360	我们说初几就是初几吧
109360	111920	我们就当他初五都发财德了啊
111920	113960	看我们新的拿行教服啊
113960	115360	不错吧
115360	118040	感谢教友许先教友
118040	119320	许先日舍教友
120680	122920	给我们设计的达姓教徽啊
122920	124960	再感谢啊
124960	126280	大标客教友啊
126280	127440	给我们做的这个
128800	129680	这个戒指啊
129680	130480	银戒
130480	133760	银戒指已经收到了啊
133760	135320	送给我的银戒指啊
135320	136800	这个我没给他钱
136800	138840	他白送给我的银戒指
138840	139440	哎
139440	140600	谢谢你
140600	141760	大标客啊
141760	144240	这个金戒指啊
144240	146320	这也是他白送给我的啊
146320	147960	他送给我了一个金戒指
147960	148960	六个银戒指
148960	150880	我感觉非常幸福啊
150880	154000	我觉得我觉得我人生充满了成就感啊
154000	156400	霹雳露露霹雳露
156400	157000	谢谢你
157000	159040	祝你初五发大财啊
159040	162800	拔出来亮亮也也祝你初五发大财啊
162800	164480	马上发财啊
164480	167080	祝全世界的观众朋友们啊
167080	169320	新春愉快啊
169320	171440	这个万事如意
171440	173920	何家欢乐
173920	176720	健康平安啊
