start	end	text
0	12800	喂 听得到吗 听得到给我打个一 谢谢
30000	42800	听得到吗 听得到给我打个一 谢谢
60000	80800	听得到吗 听得到给我打个一 谢谢
90000	110800	听得到吗 听得到给我打个一 谢谢
120000	148800	听得到吗 听得到给我打个一 谢谢
150000	156800	OK OK
210000	239400	好 差不多差不多开始 等两分钟忍吧
239400	261200	哎呀 我今天困了 嗯 送 送修德
261200	276000	铁道目那个跟宋平家里没有关系啊 铁路局的那个
276000	303800	以后送的会员就不能拉群了 嗯 送的会员不能拉群了
303800	307600	呃 直辖市的书记到时候我会讲完省长会接着讲直辖市的
312600	324800	费东斌被抓是被咱们之前讲过就前任铁路局局长所以费东斌费东斌被抓是因为他得罪了深圳的那个负德集团负德集团收购
325800	334800	收购了那个广汇啊 新疆广汇的一条铁路 民营的铁路 结果呢费东斌呢非要在边上开一条
336800	341800	修一个有竞争性的铁路还是占据 所以就把负德给惹毛了就把它搞下去了
343000	346400	知道负德的关系吧 这种是挺傻的
354800	376800	我开始了啊 今天早上开始早上结束啊 这个YouTube系统有点问题 我后台看不见多少问题
377800	382800	今天讲一下宋平啊 宋平刚刚去世啊
382800	411800	宋平是1917年出生的吧 到现在109岁啊 是应该是在世的
411800	417800	原来前段时间在世的时间最长的 最长寿的这个常委了吧
419800	432800	咱们之前的讲过两期宋平其实 一期是讲那个 讲尾桃的时候吧 讲过宋平 一期视频 然后一期直播 讲中途部长的时候呢 也讲过宋平
433800	441800	因为宋平讲现在是很多问题绕不开宋平 讲里希的过程 讲里希的视频其实也涉及到了宋平
443800	449800	所以咱们今天在讲宋平咱们讲的 我就不想重复太多
450800	459800	咱们讲一下 在简单的单身 很多人估计也不知道宋平的这个情况 我们就终点讲下他的成长的这个
460800	473800	环境啊 还得过一下他的背景 宋平应该是山东举线的呀 大家知道举线吧 举线现在是日照下面的吧 原来应该属于山东的林仪地区啊
474800	478800	现在济南的市长那个叫于海什么的 应该就是举线的
479800	485800	大家去查一下日照的立任的书记啊 除了第一任的书记之外啊
488800	502800	日照的这个立任书记都升了副部级 从第二任书记到现在的 到就是最近的这个书记 当然现在现任书记胆不算了
504800	513800	啊 你包括夏耕 就是原来青岛的市长 李赵浅就是山西的机会书记 杨军当过
514800	525800	青岛的政协主席吧 还有刘兴泰 也是在海南当过当过这个副省长吧 还有齐嘉宾 齐嘉宾是现在
526800	537800	总统部的副部长吧 日照在这个情况是非常奇怪的 大家可以去查查除了这几个副部级的省城市啊
538800	544800	山东很少有个地市啊 能所有的 几乎所有的市委书记都升副部的
545800	551800	因为日照在山东应该是非常小的 日照的人口有300万人吗 300万人我估计
552800	560800	然后在山东应该不是倒数第一就倒数第二 就是基地地容量非常小 因为日照原来是从属于林仪地区的
561800	569800	然后从林仪那边分出来的 我去过日照很多年前 大概就四个区 两个区两个县
570800	582800	这个经济体量应该是倒数的 这么小的一个地市啊 每人书记都能升到副部级 港位都还不错 这个是很奇怪的
583800	594800	当然这其中有一些人跟宋平是有关系的 因为宋平的相情很重 另外有一些人跟宋平可能就没有那些关系
594800	603800	但是这是很奇怪的 你就算 大家去查一下 就算是地级市里面 就算是政治高地 你算一算
605800	614800	你像陕西的未男 老习的老家 他也不是所有人都是这个副部级的 是不是 这是一个很奇怪的现象
615800	624800	第二个就是宋平起家呢 其实是出生于清华当时搞的那个129运动 1935年那个
625800	629800	这个129运动啊 可能大家没研究当时 可能不知道它的重要性
630800	640800	129运动和五四运动两个运动是并列的 都是 中国到现在为止加上六四 这是最重要的三个学生运动
641800	651800	五四运动是北大搞的 129基本上是在清华搞起来的 而且129运动的发起跟共产党没多少关系
652800	659800	当然现在他们总是说129是共产党搞起来的 但是当时北平的共产党
660800	671800	1934年的时候 北平的共产党已经被连根拔起了 大家知道那个时候是中国的北方局啊 包括中共的这个势力都是最弱小的时候
672800	678800	中共的军队基本上被圈进在陕北那边 然后吃不下饭了 所以去搞那个
678800	686800	搞那个南宁湾肯荒嘛 然后去去搞牙 搞牙片嘛 张斯德烧牙片的时候不是
687560	691800	那个摇塌了被砸死了嘛 那都是讲的是 都是活不下去了 快
693200	698320	那个这个时候怎么搞起来呢 是一堆进步学生 相当于当时搞了一个雪莲
699200	704800	这个雪莲呢 发动清华 要发动这些知名的学校搞起了这个129运动
705800	718800	那这个129运动呢 多说一句 这个就是雪莲为什么 大家可能看现在中共的很多组织机构 大家会想为什么这个组织机构不把它裁掉呢
720800	729800	你比如说雪莲 青莲 富莲 比如说什么作家学会 作家学会大家知道居然是正不及 我这年居然也是正不及
730800	740800	大家想想为什么要搞这些机构啊 大家想想 因为中共所有的机构设置啊 他是以夺取政权和维护政权为目的的
741800	751800	这些机构呢 都是为了团结这个群体 让这个群体别出事 他夺权的时候呢 是为了团结这个群体呢 去搞运动
752800	760800	在位置之后呢 他说这个机构就变成了防止这个团体呢 出现类似的这个群体事件
