start	end	text
0	2060	you
30000	32060	you
60000	62060	you
90000	92060	you
300000	308960	you
308960	314340	can you hear it?
314340	319200	thank you
319200	329440	can you hear it?
329440	340960	can you hear it?
340960	346080	wait a minute
346080	347100	wait a minute
347100	355040	I guess many people sleep late in the morning at 9 o'clock in the morning
355040	360160	it's better than live broadcast
360160	361180	Hong Kong Mid-Autumn Festival
361180	368100	I'm familiar with Hong Kong Mid-Autumn Festival
368100	370660	let's talk about the series
370660	378600	let's talk about Hong Kong Mid-Autumn Festival
378600	381660	it's not easy to get up in the weekend
381660	389100	it's better than live broadcast
389100	399600	let's talk about two people
399600	407020	one is Zhou Jiaming
407020	412140	Zhou Jiaming is a former secretary of Guilin
412140	415980	he was also a student of Xi Jinping
415980	418040	he was famous on the Internet
418040	420840	he was like a grandson of Xi Jinping
420840	422880	he was famous on the Internet
422880	424940	Zhou Jiaming is a strange person
424940	431860	he started to work in Qinghua architecture in 1964
431860	436460	he worked in the architecture industry
436460	441580	then he went to the construction management of the National Museum of Foreign Affairs
441580	453360	the National Museum of Foreign Affairs was under the Ministry of Foreign Affairs
453360	455400	he put a new horse
455400	457960	the new horse was my assistant
457960	460980	it was Telegram
460980	464040	the next one is his Twitter
464040	467120	if you contact me, I won't be in a hurry
467120	469680	if you contact me, I won't be in a group
469680	473260	if you contact me, please remember this horse
473260	476340	please remember it, I'll take it later
476340	481980	Zhou Jiaming later went to the construction company of the National Museum of Foreign Affairs
481980	483760	the construction company designed it
483760	487860	the location of the entire design industry is not very high
487860	490940	at that time, an old designer
490940	494000	made such a meeting, but he also got the recognition
494000	496820	so he was a deputy and did the right thing
496820	502960	then he went to the Beijing Museum of Foreign Affairs and now the Institute of Science as the dean
502960	507560	don't think that the two research institutes are different
507560	513860	these two institutes are connected to the Chinese architecture and management
513860	516100	so the upper part is still the same
516100	517900	so Zhou Jiaming was still in a system
517900	523260	later he went to the construction company as the deputy and then his interior department as the secretary
523260	526860	at that time, the interior architecture director and deputy secretary
526860	530180	the interior architecture director of the society, you joined the architecture school
530180	532240	so that's the situation
532240	536840	so he was always in the construction department of the society
536840	539920	I'm talking about Zhou Jiaming
539920	543740	in 2007, he became the editor-in-chief of the National Museum of Foreign Affairs
543740	546300	and then he went to Guangxi
546300	548600	he was the director-in-chief of the National Museum of Foreign Affairs and the vice-president
548600	553980	at that time, he introduced Zhou Jiaming to Guo Shengkun
553980	557060	later he announced that he knew the political liar
557060	560640	I don't know who this person is, but he should have known Guo Shengkun at that time
560640	563200	when Guo Shengkun became the deputy secretary, he went to the office
563200	566520	when Guo Shengkun became the secretary, he stayed as the president
566520	569080	and then the vice-president of Nanning
569080	570880	before Guo Shengkun left
570880	572920	he became the vice-president of Beihai
572940	576060	after Guo Shengkun left, he was basically in Huaxing
576060	579020	you can see who he was later
579020	582620	later Peng Qinghua was not very familiar with him
582620	586100	so he worked in Beihai, Guilin, and the director of the architecture department
586100	588100	he has been in Huaxing for many years
588100	591940	until May 2021, he became the secretary of Guilin
591940	593980	then why can he be the secretary of Guilin?
593980	598300	but the secretary of Guilin knows that he is still in the office, he is not in the office, and he is not in the national level
598300	599740	at that time, what happened to him?
599740	605600	it was because his hometown, Lu Xingse, was the secretary of Guilin
605600	606760	and he was about to leave
606760	612040	Lu Xingse left in November, he was the secretary of Guilin in May
612040	614360	Zhou Jiaming was the successor of Shandong
614360	619520	Lu Xingse was the director of Heze
619520	620720	they were all under Heze
620720	622840	they were all from the national family
