id,title,url,upload_date,source_primary,source_tabs,live_status,was_live,is_live,availability,members_only
9ey9p8xM-LM,赵本山关系网的致命缺陷是什么？本山商业的旋转飞轮是什么样的？为何说他退出春晚和薄熙来王立军无关？他如何由人生巅峰到谷底？挽救他命运的关键女士究竟是谁？背后有哪些高层博弈？他如何实现转型？,https://www.youtube.com/watch?v=9ey9p8xM-LM,2026-03-30,videos,videos,not_live,False,False,public,False
bsfp6UHzrak,赵乐际（下）：天下掉下个中组部长,https://www.youtube.com/watch?v=bsfp6UHzrak,2026-03-29,videos,videos,not_live,False,False,subscriber_only,True
tUEpaZ9FnQ0,周亮跟钟绍军是什么交情；他因为什么而落马？王岐山的九个秘书的结局；他的外围团队都有哪些人；王岐山是如何一步步变坏的？王岐山的警卫秘书陈臻是如何落马的？孙力军落马如何引起董宏落马；习近平如何敲打王岐山,https://www.youtube.com/watch?v=tUEpaZ9FnQ0,2026-03-26,streams,streams,was_live,True,False,public,False
6qyUlohNtdg,核心会员内部分享三期：美股投资框架和策略（上）,https://www.youtube.com/watch?v=6qyUlohNtdg,2026-03-23,videos,videos,not_live,False,False,subscriber_only,True
rd-oTL3PlKc,靳磊和何立峰石泰峰黄坤明的关系；靳磊夫人的牛逼社交圈；深圳市委书记的三方博弈；深圳和习近平家族的特殊关系；铁路局长费东斌落马的秘闻；齐桥桥和深圳地产界的关系；习远平和深圳金融界的关系；中组部的复杂局势,https://www.youtube.com/watch?v=rd-oTL3PlKc,2026-03-22,videos,videos,not_live,False,False,public,False
eqLjbT9s4MA,重庆市长胡衡华背后的神秘家族；这个家族与习近平家族的渊源；从马云身上赚走数十亿的神秘女性；彭丽媛的干妈为何保护过胡衡华；史上最牛正厅级保姆；湖南的政治特产和资源；湘钢系林武和刘捷不同的政治道路。,https://www.youtube.com/watch?v=eqLjbT9s4MA,2026-03-21,streams,streams,was_live,True,False,subscriber_only,True
akI9KzCNWP4,胖东来分资产的真相剖析；胖东来核心竞争力的六大模式拆解；胖东来高利润的终极秘密；胖东来模式的两大致命缺陷；胖东来的两次生存危机和主要敌人；于东来的悟道机遇；胖东来应对权贵劫掠的自保之道。,https://www.youtube.com/watch?v=akI9KzCNWP4,2026-03-19,streams,streams,was_live,True,False,public,False
9I7sZkH521c,波霸彭丹和习近平究竟是什么关系？波霸的前生今世究竟是什么？成为干爹要满足什么条件？四位嫌疑人究竟是谁？｜彭丹｜习近平｜赵乐际｜曾庆淮｜李肇星｜滕文生｜李金元｜韩三平｜陈香梅｜,https://www.youtube.com/watch?v=9I7sZkH521c,2026-03-17,videos,videos,not_live,False,False,public,False
ViFeFrH1j90,核心会员内部分享：社会关系的开拓和维护2,https://www.youtube.com/watch?v=ViFeFrH1j90,2026-03-15,videos,videos,not_live,False,False,subscriber_only,True
8ZictOYXGRw,赵乐际的人生传记；他如何一步步走到现在；他到底是哪个派系的？他的人生贵人有哪些？他的父亲和儿子给他带来了哪些助力？他在各个位置上的业绩有哪些？他和李希有哪些区别？赵乐际｜青海｜陕西｜中组部长,https://www.youtube.com/watch?v=8ZictOYXGRw,2026-03-15,videos,videos,not_live,False,False,subscriber_only,True
wERu_gnUhxg,王小洪和王毅为什么还不退休？习近平--李强经济学的框架；习李经济学和凯恩斯主义的关系；和安倍经济学的关系；中国解决通缩的三个路径；习李经济学的结局预测。李克强｜刘鹤｜李强｜习近平,https://www.youtube.com/watch?v=wERu_gnUhxg,2026-03-13,streams,streams,was_live,True,False,public,False
m6_19-gMuwk,国民佟丽娅背后的靠山到底是谁？她和央视台长慎海雄到底结婚了没有？佟丽娅背后的两股势力究竟有哪些? 四位嫌疑人究竟是谁？她如何被牵涉进中宣部的政治斗争？｜佟丽娅｜陈思诚｜慎海雄｜春晚主持,https://www.youtube.com/watch?v=m6_19-gMuwk,2026-03-10,videos,videos,not_live,False,False,public,False
bFLvb0j-rwk,核心会员内部分享：如何确定拓展关系的目标？如何实现对领导信息的全方位调研？如何寻找合适的桥梁和圈子？如何低成本维护自己的人脉？如何让自己变成社交达人？,https://www.youtube.com/watch?v=bFLvb0j-rwk,2026-03-07,videos,videos,not_live,False,False,subscriber_only,True
McbJTjYUSF8,会员直播：中共造王者宋平和习近平的恩怨情仇,https://www.youtube.com/watch?v=McbJTjYUSF8,2026-03-05,streams,streams,was_live,True,False,subscriber_only,True
CdaMD0nU2_c,清华校长王希勤落马和清华腐败窝案；斩首行动为什么没让伊朗投降？美伊战争的三个阶段；霍尔木兹海峡还会封锁多久；为什么说以色列是美伊战争的最大赢家；美伊战争对中国战略的四大影响；伊朗会迎来民主吗？,https://www.youtube.com/watch?v=CdaMD0nU2_c,2026-03-05,streams,streams,was_live,True,False,public,False
1NfIUwmipAY,央视历任台长和背景；超级白手套苏达仁；著名女主持的背景；焦立落马的桃色故事；胡占凡和迪丽热巴的故事；聂辰席和刘浩存易洋千玺的故事；慎海雄和佟丽娅有没有关系？他的情人到底是谁？令计划家族和央视的渊源；,https://www.youtube.com/watch?v=1NfIUwmipAY,2026-03-05,videos,videos,not_live,False,False,subscriber_only,True
ttd-nqzY0r8,辽宁省长王新伟的两个伯乐分别是谁？吉林省长胡玉亭的三个伯乐是谁？他如何与第一家庭建立了关系？他如何合法得进行利益输送？他背后的歌唱家是谁？黑龙江省长梁惠玲和83年选调生的关系；她的人生伯乐是谁,https://www.youtube.com/watch?v=ttd-nqzY0r8,2026-03-01,streams,streams,was_live,True,False,subscriber_only,True
BzkIfHAFXSo,孟建柱为什么能登上新的政法王？孙力军在其中起了哪些作用？他们白手套--绿地和董卿老公？孙力军如何搞掉王小洪的嫡系林锐？两派如何争夺灰产庇护权？王小洪如何清洗孟建柱派系？｜孟建柱｜王小洪｜孙力军,https://www.youtube.com/watch?v=BzkIfHAFXSo,2026-03-01,videos,videos,not_live,False,False,public,False
AysquaFJHrk,两次泰柬冲突背后的阴谋与算计；保守派如何暗算佩通坦；洪森为何与阿努廷共谋又闹掰；泰国赌场政策背后的利益博弈；泰国国王和军队的真实关系；泰国政治的三个阶段；自豪党的崛起；新总理阿努廷的政治根据地。,https://www.youtube.com/watch?v=AysquaFJHrk,2026-02-27,streams,streams,was_live,True,False,public,False
IburALrzFpw,直播精华节录：栗战书的白手套，栗战书仕途的三个贵人；他是如何成为中办主任的？栗战书的三个白手套是谁？栗战书和刘鹤家的战争；李兆廷成为首富的五个步骤？权力如何帮他骗到2000亿？东旭如何牵扯到四大财团？,https://www.youtube.com/watch?v=IburALrzFpw,2026-02-26,videos,videos,not_live,False,False,public,False
bDFiScvyhaA,习近平派系和江泽民派系是什么关系？习近平是如何对待江泽民派系的？他如何限制曾庆红和温家宝两位元老？ 贺国强和贾庆林家族陷入了哪些案件？哪些老人受到习近平的信赖？曾庆红｜温家宝｜贺国强｜贾庆林,https://www.youtube.com/watch?v=bDFiScvyhaA,2026-02-22,videos,videos,not_live,False,False,public,False
o-WlHS8PkOM,央视历任台长和背景；央视幕后的当家人；著名女主持的背景；焦立落马的桃色故事；胡占凡和迪丽热巴的故事；聂辰席和刘浩存易洋千玺的故事；慎海雄和杨幂有没有关系？他的情人到底是谁？令计划家族和央视的渊源；,https://www.youtube.com/watch?v=o-WlHS8PkOM,2026-02-21,streams,streams,was_live,True,False,subscriber_only,True
fPyJLZJsLR0,栗战书仕途的三个贵人；他是如何成为中办主任的？栗战书的三个白手套是谁？栗战书和刘鹤家族的战争；李兆廷成为首富的五个步骤？权力如何帮他骗到2000亿？东旭如何牵扯到其他四大财团？李兆廷儿子和抖音第一美；,https://www.youtube.com/watch?v=fPyJLZJsLR0,2026-02-19,streams,streams,was_live,True,False,public,False
cukYFgZOzSY,直播精华节录：习近平大秘--钟绍军的悲哀；他在张又侠和苗华之间如何选边站？他的女朋友是谁？他提拔了哪些官员？他为什么会沦落到如今的地步？习近平会如何处置他 ？,https://www.youtube.com/watch?v=cukYFgZOzSY,2026-02-16,videos,videos,not_live,False,False,public,False
c2mfTQUcVb4,公安部长王小洪的权斗往事与候任公安部长的真实背景（上）：王小洪的仕途；他和习近平的关系；他在历任岗位上的主要政绩；他跟孙力军的权力斗争；孙力军如何搞掉王小洪的接班人；王忠林如何跟彭丽媛建立了联系？,https://www.youtube.com/watch?v=c2mfTQUcVb4,2026-02-13,streams,streams,was_live,True,False,public,False
Gro-lEQ345Q,公安部长王小洪的权斗往事与候任公安部长的真实背景（下）：娃哈哈大公主宗馥莉的前夫和彭丽媛家族的关系；他是如何陷入了云南高层的政治斗争；商业天才如何卷紧政治漩涡；,https://www.youtube.com/watch?v=Gro-lEQ345Q,2026-02-13,streams,streams,was_live,True,False,subscriber_only,True
sGbFr4AcT6c,习近平为何要消灭太子党？太子党究竟是如何诞生？红二代和太子党的分裂又是什么？习近平是如何逐步收拾团派和太子党？｜薄熙来｜刘源｜陈元｜邓朴方｜刘亚洲｜曾庆红｜胡德华｜王岐山｜张又侠｜,https://www.youtube.com/watch?v=sGbFr4AcT6c,2026-02-11,videos,videos,not_live,False,False,public,False
gGVxJ6dLQvM,易炼红的仕途之路（上）：他为官的五个特点；他人生的前两个伯乐是谁？湖南官场的三个本土派领导是谁？易炼红如何认识并搞定他的人生伯乐？,https://www.youtube.com/watch?v=gGVxJ6dLQvM,2026-02-10,streams,streams,was_live,True,False,public,False
4U1ZelOLuV8,起底原浙江和江西省委书记易炼红的仕途之路（下）：易炼红晋升的第二级火箭；谁帮助他晋升到省委书记；他跟习近平究竟有哪些渊源；这次史无前例的清理余毒活动还会持续多久；,https://www.youtube.com/watch?v=4U1ZelOLuV8,2026-02-10,streams,streams,was_live,True,False,subscriber_only,True
